Rank,Total,Venue_S,Relev_S,Impact_S,Bonus_S,Title,Authors,Year,Venue,Citations,Code,Code_URL,Demo,URL,PDF,Source
1,64,15,25,9,15,Path and trajectory planning of a tethered UAV-UGV marsupial robotic system,S. Mart??nez-Rozas; D. Alejo; F. Caballero; L. Merino,2022,"8 pages, 4 figures, 3 tables. Version accepted in IEEE-Robot",25,,,Y,http://arxiv.org/abs/2204.01828v3,https://arxiv.org/pdf/2204.01828v3,both
2,60,15,25,4,15,Apprenticeship Bootstrapping Via Deep Learning with a Safety Net for UAV-UGV Interaction,Hung Nguyen; Vu Tran; Tung Nguyen; Matthew Garratt; Kathryn Kasmarik,2018,"Presented at AI-HRI AAAI-FSS, 2018 (arXiv:1809.06606)",2,,,Y,http://arxiv.org/abs/1810.04344v1,https://arxiv.org/pdf/1810.04344v1,both
3,58,15,24,4,15,"Fly, Track, Land: Infrastructure-less Magnetic Localization for Heterogeneous UAV-UGV Teaming",Valerio Brunacci; Davide Plozza; Alessio De Angelis; Michele Magno; Tommaso Polonelli,2026,Submitted to IEEE Transactions on Robotics (T-RO). Supplemen,0,,,Y,http://arxiv.org/abs/2603.08926v1,https://arxiv.org/pdf/2603.08926v1,arxiv
4,54,2,33,4,15,Collaborative Planning with Concurrent Synchronization for Operationally Constrained UAV-UGV Teams,Zihao Deng; Qianhuang Li; Peng Gao; Maggie Wigness; John Rogers,2026,,0,,,Y,http://arxiv.org/abs/2603.06898v1,https://arxiv.org/pdf/2603.06898v1,both
5,54,15,20,4,15,Semi-distributed Cross-modal Air-Ground Relative Localization,Weining Lu; Deer Bin; Lian Ma; Ming Ma; Zhihao Ma,2025,"7 pages, 3 figures. Accepted by IROS 2025",0,Y,https://github.com/Ascbpiac/cross-model-relative-localization.git,,http://arxiv.org/abs/2511.06749v1,https://arxiv.org/pdf/2511.06749v1,both
6,54,0,32,7,15,A Two-Phase Planner for Messenger Routing Problem in UAV-UGV Coordination Systems,Zhao Zhang; Chen Chen; Lingda Wang; Yulong Ding; Fang Deng,2025,IEEE Transactions on Automation Science and Engineering,2,,,Y,https://www.semanticscholar.org/paper/ea1be77bd9a88a2f19a986d541bb00f83aeb1c8e,,both
7,54,2,31,6,15,UAV-UGV Cooperative Trajectory Optimization and Task Allocation for Medical Rescue Tasks in Post-Disaster Environments,Kaiyuan Chen; Wanpeng Zhao; Yongxi Liu; Yuanqing Xia; Wannian Liang,2025,Unmanned Systems,1,,,Y,http://arxiv.org/abs/2506.06136v2,https://arxiv.org/pdf/2506.06136v2,both
8,51,2,26,8,15,Deep Reinforcement Learning Enabled Persistent Surveillance with Energy-Aware UAV-UGV Systems for Disaster Management Applications,Md Safwan Mondal; Subramanian Ramasamy; Pranav Bhounsule,2025,Submitted,4,,,Y,http://arxiv.org/abs/2502.02666v1,https://arxiv.org/pdf/2502.02666v1,both
9,51,2,15,4,30,"\LARGE GMP$^{3}$: Learning-Driven, Bellman-Guided Trajectory Planning for UAVs in Real-Time on SE(3)",Babak Salamat; Dominik Mattern; Sebastian-Sven Olzem; Gerhard Elsbacher; Christian Seidel,2025,,0,Y,https://github.com/Domattee/DroneManager,Y,http://arxiv.org/abs/2509.21264v1,https://arxiv.org/pdf/2509.21264v1,both
10,51,0,27,9,15,Vision-Based UAV-UGV Collaboration for Autonomous Construction Site Preparation,Oren Elmakis; T. Shaked; Amir Degani,2022,IEEE Access,31,,,Y,https://www.semanticscholar.org/paper/eb49fe4ec04ccb7e76042efb32e6cf5884ee0eb9,https://ieeexplore.ieee.org/ielx7/6287639/9668973/09762958.pdf,semantic_scholar
11,50,0,29,6,15,Deep Semantic Image Segmentation for UAV-UGV Cooperative Path Planning: A Car Park Use Case,Mirela Kundid Vasi??; Ahmad Drak; Nediljko Bugarin; Stanko Kru??i??; J. Musi??,2020,"International Conference on Software, Telecommunications and",8,,,Y,https://www.semanticscholar.org/paper/993eb7fda52649cccb6b60752fca156b6992ec58,,both
12,50,15,16,4,15,AgriColMap: Aerial-Ground Collaborative 3D Mapping for Precision Farming,Ciro Potena; Raghav Khanna; Juan Nieto; Roland Siegwart; Daniele Nardi,2018,"Published in IEEE Robotics and Automation Letters, 2019",0,,,Y,http://arxiv.org/abs/1810.00457v2,https://arxiv.org/pdf/1810.00457v2,arxiv
13,50,15,16,4,15,Stronger Together: Air-Ground Robotic Collaboration Using Semantics,Ian D. Miller; Fernando Cladera; Trey Smith; Camillo Jose Taylor; Vijay Kumar,2022,Sumbitted to RA-L and IROS,0,,,Y,http://arxiv.org/abs/2206.14289v1,https://arxiv.org/pdf/2206.14289v1,arxiv
14,49,2,28,4,15,A Multi-Agent Reinforcement Learning Approach for Cooperative Air-Ground-Human Crowdsensing in Emergency Rescue,Wenhao Lu; Zhengqiu Zhu; Yong Zhao; Yonglin Tian; Junjie Zeng,2025,,0,,,Y,http://arxiv.org/abs/2505.06997v1,https://arxiv.org/pdf/2505.06997v1,both
15,48,15,25,8,0,MPC-ABCO: An MPC-Based Adaptive Bezier Curve Optimization Framework for UAV-UGV Cooperative Landing,Haiqi Li; Lei Qiang; Zihao Wu; Jiajun Chen; Yin Sun,2025,IEEE Robotics and Automation Letters,4,,,,https://www.semanticscholar.org/paper/76bfeab6f9bb6541b77e1484f49e3e838ae38a70,,both
16,48,10,15,8,15,HetSwarm: Cooperative Navigation of Heterogeneous Swarm in Dynamic and Dense Environments through Impedance-based Guidance,Malaika Zafar; Roohan Ahmed Khan; Aleksey Fedoseev; Kumar Katyayan Jaiswal; Dzmitry Tsetserukou,2025,Manuscript has been accepted by ICUAS-2025,4,,,Y,http://arxiv.org/abs/2502.06722v2,https://arxiv.org/pdf/2502.06722v2,both
17,48,0,24,9,15,Adaptive Depth Graph Neural Network-Based Dynamic Task Allocation for UAV-UGVs Under Complex Environments,Ziyuan Ma; Jun Xiong; Huajun Gong; Xinhua Wang,2025,IEEE Transactions on Intelligent Vehicles,8,,,Y,https://www.semanticscholar.org/paper/3579d9491b496877f00ee85288a92d152d1eb1f6,,semantic_scholar
18,48,15,9,9,15,Ground and Aerial Collaborative Mapping in Urban Environments,Jinhao He; Yuming Zhou; Lixiang Huang; Yang Kong; Hui Cheng,2021,IEEE Robotics and Automation Letters,32,,,Y,https://www.semanticscholar.org/paper/5caa82a73e1d0226a5c854738cf0725505dfd4b3,,semantic_scholar
19,47,15,10,7,15,Cost-Effective Swarm Navigation System via Close Cooperation,Nanhe Chen; Zhehan Li; Lun Quan; Xinwei Chen; Chao Xu,2024,IEEE Robotics and Automation Letters,5,,,Y,https://www.semanticscholar.org/paper/82c5f5cd9b36bd2fca9cef62c8027a4b010544f4,,semantic_scholar
20,46,2,10,4,30,Enabling Large-scale Heterogeneous Collaboration with Opportunistic Communications,Fernando Cladera; Zachary Ravichandran; Ian D. Miller; M. Ani Hsieh; C. J. Taylor,2023,"7 pages, 8 figures",0,Y,http://github.com/KumarRobotics/MOCHA,Y,http://arxiv.org/abs/2309.15975v1,https://arxiv.org/pdf/2309.15975v1,arxiv
21,46,15,8,8,15,CoPeD-Advancing Multi-Robot Collaborative Perception: A Comprehensive Dataset in Real-World Environments,Yang Zhou; Long Quang; Carlos Nieto-Granda; Giuseppe Loianno,2024,"8 pages, 8 figures, 4 tables, Accepted at the IEEE Robotics ",6,,,Y,http://arxiv.org/abs/2405.14731v1,https://arxiv.org/pdf/2405.14731v1,both
22,45,15,11,4,15,Robust Localization of Aerial Vehicles via Active Control of Identical Ground Vehicles,Igor Spasojevic; Xu Liu; Ankit Prabhu; Alejandro Ribeiro; George J. Pappas,2023,To appear in IROS 2023,0,,,Y,http://arxiv.org/abs/2308.06658v1,https://arxiv.org/pdf/2308.06658v1,both
23,45,5,21,4,15,Enabling Energy Efficient Augmented Reality in Multi-UAV-UGV Systems,Chenyang Wang; Qifeng Han,2023,2023 IEEE International Conference on Pervasive Computing an,0,,,Y,https://www.semanticscholar.org/paper/eab2fe5ede3ff9c37cc03582d3483d45da48ac7b,,semantic_scholar
24,45,2,24,4,15,Long Duration Inspection of GNSS-Denied Environments with a Tethered UAV-UGV Marsupial System,Sim??n Mart??nez-Rozas; David Alejo; Jos?? Javier Carpio; Fernando Caballero; Luis Merino,2025,"31 pages, 17 figures, 6 tables. Published in Drones. https:/",0,Y,,,http://arxiv.org/abs/2505.23457v2,https://arxiv.org/pdf/2505.23457v2,both
25,44,15,5,10,15,Graph Neural Network for Decentralized Multi-Robot Goal Assignment,Manohari Goarin; Giuseppe Loianno,2024,IEEE Robotics and Automation Letters,25,,,Y,https://www.semanticscholar.org/paper/4c0eee4a40bcb0713d495d5e3de5b3ee5ba19292,,semantic_scholar
26,44,0,22,7,15,Aerial-Ground Robots Collaborative 3D Mapping in GNSS-Denied Environments,Yufeng Yue; Chunyang Zhao; Yuanzhe Wang; Yezhou Yang; Danwei W. Wang,2022,IEEE International Conference on Robotics and Automation,8,,,Y,https://www.semanticscholar.org/paper/f5c51e1840b03fd7e1815c2b89cdc90e7fcb141b,,semantic_scholar
27,44,15,19,10,0,Cooperative Aerial-Ground Multi-Robot System for Automated Construction Tasks,Marko Krizmancic; Barbara Arbanas; Tamara Petrovic; Frano Petric; Stjepan Bogdan,2022,Also included in conference proceedings of IEEE Internationa,88,,,,http://arxiv.org/abs/2204.13926v1,https://arxiv.org/pdf/2204.13926v1,both
28,43,2,18,8,15,MAGNNET: Multi-Agent Graph Neural Network-based Efficient Task Allocation for Autonomous Vehicles with Deep Reinforcement Learning,Lavanya Ratnabala; Aleksey Fedoseev; Robinroy Peter; Dzmitry Tsetserukou,2025,Submitted to IEEE Intelligent Vehicle Symposium (2025),4,,,Y,http://arxiv.org/abs/2502.02311v2,https://arxiv.org/pdf/2502.02311v2,both
29,43,0,24,4,15,Multi-UAV-UGV Collision-Free Tracking Control via Control Barrier Function-Based Reinforcement Learning,Haojie Xia; Qihan Qi; Xinsong Yang; Xingxing Ju; Housheng Su,2025,IEEE/RJS International Conference on Intelligent RObots and ,0,,,Y,https://www.semanticscholar.org/paper/f20f59726f223b3cfb2529c2b09c8dc8f3a3d9f8,,both
30,43,2,7,4,30,L2Calib: $SE(3)$-Manifold Reinforcement Learning for Robust Extrinsic Calibration with Degenerate Motion Resilience,Baorun Li; Chengrui Zhu; Siyi Du; Bingran Chen; Jie Ren,2025,IROS2025,0,Y,https://github.com/APRIL-ZJU/learn-to-calibrate,Y,http://arxiv.org/abs/2508.06330v1,https://arxiv.org/pdf/2508.06330v1,arxiv
31,43,0,24,4,15,Real-Time Enhancements of Digital Twins With Incremental Time Series Data in Networked Air-Ground Cooperative UAV Swarm Systems,Mengjie Lee; Yining Zhu; Yujiao Hu; Yan Pan; Jinchao Chen,2025,IEEE transactions on intelligent transportation systems (Pri,0,,,Y,https://www.semanticscholar.org/paper/2cbb1d870c4138d81bbd2e5b0d2df8f76bf6e1b0,,semantic_scholar
32,43,15,9,4,15,Search and Rescue under the Forest Canopy using Multiple UAVs,Yulun Tian; Katherine Liu; Kyel Ok; Loc Tran; Danette Allen,2019,IJRR revision,0,,,Y,http://arxiv.org/abs/1908.10541v2,https://arxiv.org/pdf/1908.10541v2,arxiv
33,43,0,18,10,15,A Review of Recent Advances in Coordination Between Unmanned Aerial and Ground Vehicles,Yulong Ding; Bin Xin; Jie Chen,2020,Unmanned Systems,88,,,Y,https://www.semanticscholar.org/paper/696bbdbb1f543a3bf649bc95c78a52ed26fc9a92,,semantic_scholar
34,43,0,19,9,15,Cooperative UAV?€?UGV Autonomous Power Pylon Inspection: An Investigation of Cooperative Outdoor Vehicle Positioning Architecture,??. Cantieri; Matheus F. Ferraz; Guido Szekir; Marco Ant??nio Sim??es Teixeira; Jos?? Lima,2020,Italian National Conference on Sensors,34,,,Y,https://www.semanticscholar.org/paper/dde54074db5ef82389f55967d49d518d11a3a7d4,https://www.mdpi.com/1424-8220/20/21/6384/pdf?version=1604915054,semantic_scholar
35,43,0,20,8,15,Online Path Planning of Messenger UAV in Air?€?Ground Coordination Over Urban Areas,Yuyang Wang; Bin Xin; Yulong Ding; Bin He; Jie Chen,2025,IEEE Transactions on Vehicular Technology,3,,,Y,https://www.semanticscholar.org/paper/433b7782e75517865fed87db9ad34b3c004dd9b0,,semantic_scholar
36,42,0,18,9,15,Heterogeneous Multi-Robot Collaboration for Coverage Path Planning in Partially Known Dynamic Environments,Gabriel G. R. de Castro; Tatiana M. B. Santos; Fabio A. A. Andrade; Jos?? Lima; D. B. Haddad,2024,Machines,23,,,Y,https://www.semanticscholar.org/paper/794cfaf74f5e789316772b2b687492db0c793c3f,https://www.mdpi.com/2075-1702/12/3/200/pdf?version=1710754792,semantic_scholar
37,42,2,21,4,15,AGCo-MATA: Air-Ground Collaborative Multi-Agent Task Allocation in Mobile Crowdsensing,Tianhao Shao; Bohan Feng; Yingying Zhou; Bin Guo; Kaixing Zhao,2025,arXiv.org,0,,,Y,http://arxiv.org/abs/2504.17409v1,https://arxiv.org/pdf/2504.17409v1,both
38,42,0,23,4,15,Heterogeneous UAV-UGV Collaboration for Dynamic Environment Surveillance and Rendezvous Charging Missions,Yunyeong Lee; Yen-Chen Liu,2025,"IEEE International Conference on Systems, Man and Cybernetic",0,,,Y,https://www.semanticscholar.org/paper/0c5abb406c8dfc7efe3fda5be6eabc42878e832c,,both
39,42,2,6,4,30,Beyond Egocentric Limits: Multi-View Depth-Based Learning for Robust Quadrupedal Locomotion,R??my Rahem; Wael Suleiman,2025,"12 pages, 6 figures, code available at https://anonymous.4op",0,Y,,Y,http://arxiv.org/abs/2511.22744v1,https://arxiv.org/pdf/2511.22744v1,both
40,41,0,22,4,15,Team Orienteering and Scheduling Algorithms for Collaborative UAV-UGV Area Coverage with Battery Constraints,J. J. Lee; S. Rathinam,2025,International Conference on Unmanned Aircraft Systems,0,,,Y,https://www.semanticscholar.org/paper/c072a5d41cbcbcd36e13e0cf02ee5a0dab5ceee1,,both
41,41,5,32,4,0,Leveraging Communication-Assisted Sensing for Efficient Air-Ground Coordination via Heterogeneous MADRL,Xing Zhang; Minghao Gao; Yuanhao Cui; Minsi Chen; Changqing Lai,2025,2025 IEEE International Conference on Communications Worksho,0,,,,https://www.semanticscholar.org/paper/c8191aa1b5acf4d4503d72b1058d39b1384d88c1,,both
42,41,0,22,4,15,"Integrated Task Scheduling, Path Planning, and Control for Cooperative UGV?€?UAV Systems via an Extended MPPI-GA Framework",Da-Hyun Nam; Hyeong-Geun Kim,2026,IEEE Access,0,,,Y,https://www.semanticscholar.org/paper/9da1ddb1b130de45302786017be57d62cf81739b,,both
43,40,15,1,9,15,TacGNN: Learning Tactile-Based In-Hand Manipulation With a Blind Robot Using Hierarchical Graph Neural Network,Linhan Yang; Bidan Huang; Qingbiao Li; Ya-Yen Tsai; W. Lee,2023,IEEE Robotics and Automation Letters,34,,,Y,https://www.semanticscholar.org/paper/49042ca5b7a7c76bbd46a31e208ede1ecf6132b6,,semantic_scholar
44,40,2,18,5,15,Physical simulation of Marsupial UAV-UGV Systems Connected by a Variable-Length Hanging Tether,J. E. Maese; F. Caballero; Luis Merino,2024,,1,,,Y,https://www.semanticscholar.org/paper/641c1a5ec3847e5182f7e77ce7c20437d2db3df2,,semantic_scholar
45,40,0,17,8,15,Decentralized Nonlinear MPC for Robust Cooperative Manipulation by Heterogeneous Aerial-Ground Robots,Nicola Lissandrini; Christos K. Verginis; Pedro Roque; A. Cenedese; Dimos V. Dimarogonas,2020,IEEE/RJS International Conference on Intelligent RObots and ,25,,,Y,https://www.semanticscholar.org/paper/089250a91e2e5d0b36b1d06faaac45f9d9a08944,https://kth.diva-portal.org/smash/get/diva2:1499187/FULLTEXT01,semantic_scholar
46,40,2,30,8,0,Cooperative Multi-Agent Planning Framework for Fuel Constrained UAV-UGV Routing Problem,Md Safwan Mondal; Subramanian Ramasamy; James D. Humann; Jean-Paul F. Reddinger; James M. Dotterweich,2023,Submitted for review,12,,,,http://arxiv.org/abs/2309.03397v1,https://arxiv.org/pdf/2309.03397v1,both
47,40,2,19,4,15,HIPPO-MAT: Decentralized Task Allocation Using GraphSAGE and Multi-Agent Deep Reinforcement Learning,Lavanya Ratnabala; Robinroy Peter; Aleksey Fedoseev; Dzmitry Tsetserukou,2025,arXiv admin note: text overlap with arXiv:2502.02311,0,,,Y,http://arxiv.org/abs/2503.07662v1,https://arxiv.org/pdf/2503.07662v1,both
48,40,2,31,7,0,Adaptive Semantic Communication for UAV/UGV Cooperative Path Planning,Fangzhou Zhao; Yao Sun; Jianglin Lan; Lan Zhang; Xuesong Liu,2025,IEEE Transactions on Vehicular Technology,2,,,,https://www.semanticscholar.org/paper/d143bc5e967ccaca16d1afbedead41c013bf5bf3,,both
49,40,15,21,4,0,Online Planning for Cooperative Air-Ground Robot Systems with Unknown Fuel Requirements,Ritvik Agarwal; Behnoushsadat Hatami; Alvika Gautam; Parikshit Maini,2025,Submitted to RSS (MRS Workshop),0,,,,http://arxiv.org/abs/2506.20804v1,https://arxiv.org/pdf/2506.20804v1,arxiv
50,40,2,0,8,30,MI-HGNN: Morphology-Informed Heterogeneous Graph Neural Network for Legged Robot Contact Perception,D. Butterfield; S. S. Garimella; Nai-Jen Cheng; Lu Gan,2024,IEEE International Conference on Robotics and Automation,8,Y,https://github.com/lunarlab-gatech/Morphology-Informed-HGNN,Y,https://www.semanticscholar.org/paper/0abb60e49668353a9293738520c9a5f500c69a90,,semantic_scholar
51,40,0,21,4,15,CSOOC: Communication-State Driven Online?€?Offline Coordination Strategy for UAV Swarm Multi-Target Tracking,Haoran Sun; Yicheng Yan; Guojie Liu; Ying Zhan; Xianfeng Li,2025,Electronics,0,,,Y,https://www.semanticscholar.org/paper/c6076cb969cf6631fea66639dc3675e760ea3bdf,,semantic_scholar
52,40,0,30,10,0,A Comprehensive Review of UAV-UGV Collaboration: Advancements and Challenges,Isuru Munasinghe; Asanka G. Perera; R. Deo,2024,J. Sens. Actuator Networks,71,,,,https://www.semanticscholar.org/paper/b26ec4d01ca2073aaab347e94125d9c09c23f3d4,,both
53,40,0,15,10,15,Resilient Consensus Control of Heterogeneous Multi-UAV Systems With Leader of Unknown Input Against Byzantine Attacks,Yukang Cui; Yiwen Liang; Qianyue Luo; Zhan Shu; Tingwen Huang,2025,IEEE Transactions on Automation Science and Engineering,38,,,Y,https://www.semanticscholar.org/paper/8bc4c3dcf29881affb9e6acdae36b1b41eb107db,,semantic_scholar
54,40,2,15,8,15,ColAG: A Collaborative Air-Ground Framework for Perception-Limited UGVs' Navigation,Zhehan Li; Rui Mao; Nanhe Chen; Chao Xu; Fei Gao,2023,"7 pages, 8 figures, submitted to ICRA2024 conference",9,,,Y,http://arxiv.org/abs/2310.13324v1,https://arxiv.org/pdf/2310.13324v1,both
55,40,2,0,8,30,Morphological-Symmetry-Equivariant Heterogeneous Graph Neural Network for Robotic Dynamics Learning,Fengze Xie; Sizhe Wei; Yue Song; Yisong Yue; Lu Gan,2024,Conference on Learning for Dynamics & Control,6,Y,https://github.com/lunarlab-gatech/MorphSym-HGNN/,Y,https://www.semanticscholar.org/paper/c54abec1ad4640ad82be82932edb787106712ef9,,semantic_scholar
56,40,0,30,10,0,Distributed Adaptive Cooperative Control for Human-in-the-Loop Heterogeneous UAV-UGV Systems With Prescribed Performance,Hongjing Liang; Shoufeng Yang; Tieshan Li; Hua-guang Zhang,2024,IEEE Transactions on Intelligent Vehicles,24,,,,https://www.semanticscholar.org/paper/2d62619fd0b2b0be1eadfe7d669c954d294b87ec,,both
57,40,2,14,8,15,Graph Neural Network-based Multi-agent Reinforcement Learning for Resilient Distributed Coordination of Multi-Robot Systems,Anthony Goeckner; Yueyuan Sui; Nicolas Martinet; Xinliang Li; Qi Zhu,2024,IEEE/RJS International Conference on Intelligent RObots and ,11,,,Y,https://www.semanticscholar.org/paper/fd151e954c5ac6d824d7922d18b16e5fe7a42080,http://arxiv.org/pdf/2403.13093,semantic_scholar
58,39,2,28,9,0,Optimizing UAV-UGV Coalition Operations: A Hybrid Clustering and Multi-Agent Reinforcement Learning Approach for Path Planning in Obstructed Environment,Shamyo Brotee; Farhan Kabir; Md. Abdur Razzaque; Palash Roy; Md. Mamun-Or-Rashid,2024,Ad hoc networks,22,,,,http://arxiv.org/abs/2401.01481v1,https://arxiv.org/pdf/2401.01481v1,both
59,39,0,15,9,15,Integrated Learning-Based Framework for Autonomous Quadrotor UAV Landing on a Collaborative Moving UGV,Chang Wang; Jiaqing Wang; Zhaowei Ma; Mingjing Xu; Kailei Qi,2024,IEEE Transactions on Vehicular Technology,20,,,Y,https://www.semanticscholar.org/paper/af9d22947b47b87447114faa43f43d569b4ad7b1,,semantic_scholar
60,39,15,18,6,0,Safety-Aware UAV Formation Scheme for Guiding UGVs Through Obstacle-Laden Environments,Ruikang Xiao; Shuting Wang; Yuanlong Xie; Youmin Zhang; S. Xie,2025,IEEE Robotics and Automation Letters,1,,,,https://www.semanticscholar.org/paper/3331b2e6ff12027e2b9e33ad4528e4a3efb22dca,,semantic_scholar
61,39,0,18,6,15,A Hierarchical Cross-Domain Formation Strategy for Heterogeneous UGV?€?UAVs With Uncertainties,Qianxiong Li; Xiaoqing Lu; Yaonan Wang; Yuehua Wei,2026,IEEE transactions on industrial electronics (1982. Print),1,,,Y,https://www.semanticscholar.org/paper/202d60fb77371c84a67df21ecb6ad3786670af57,,semantic_scholar
62,39,0,16,8,15,Collaborative Search Algorithm for Multi-UAVs Under Interference Conditions: A Multi-Agent Deep Reinforcement Learning Approach,Wei Wang; Yong Chen; Yu Zhang; Yihang Du,2025,Drones,4,,,Y,https://www.semanticscholar.org/paper/5d62ac286d148ab559a99c25affcfb0f16e1a943,,semantic_scholar
63,39,2,3,4,30,Visual Tracking Nonlinear Model Predictive Control Method for Autonomous Wind Turbine Inspection,Abdelhakim Amer; Mohit Mehndiratta; Jonas le Fevre Sejersen; Huy Xuan Pham; Erdal Kayacan,2023,"8 pages, accepted for publication at ICAR conference",0,Y,,Y,http://arxiv.org/abs/2310.14030v1,https://arxiv.org/pdf/2310.14030v1,arxiv
64,39,0,29,10,0,A UAV-UGV Cooperative System: Patrolling and Energy Management for Urban Monitoring,Omar Sami Oubbati; Jamal Alotaibi; F. Alromithy; Mohammed Atiquzzaman; M. Altimania,2025,IEEE Transactions on Vehicular Technology,26,,,,https://www.semanticscholar.org/paper/672c00d4790b0e42a71da98e701a061122142cdf,,both
65,38,0,33,5,0,Event-Triggered Intervention Framework for UAV-UGV Coordination Systems,Wu Wang; Junyou Guo; Guoqing Tian; Yutao Chen; Jie Huang,2021,Machines,4,,,,https://www.semanticscholar.org/paper/199f653913fe3a8b6ff73aa7f1a57ba7c20eee4a,https://www.mdpi.com/2075-1702/9/12/371/pdf?version=1639992038,both
66,38,0,14,9,15,Vision-Based Autonomous Following of a Moving Platform and Landing for an Unmanned Aerial Vehicle,J. Morales; Isabel Castelo; Rodrigo Serra; Pedro U. Lima; M. Basiri,2023,Italian National Conference on Sensors,34,,,Y,https://www.semanticscholar.org/paper/8c63705dc5d5111b97ef9094df798c25726120c2,https://www.mdpi.com/1424-8220/23/2/829/pdf?version=1673853490,both
67,38,0,32,6,0,Research on the Application of Low-Cost Aerial-Ground Delivery System Using UAV-UGV Joint,Hailong Qin; Xin Yan; Jianxin Li,2023,International Conference on Mechanical and Electronics Engin,4,,,,https://www.semanticscholar.org/paper/e267df5286073e5701e9a5694c60892067920bd0,,semantic_scholar
68,38,2,16,5,15,UGV-UAV Object Geolocation in Unstructured Environments,David Guttendorf; D. W. Wilson Hamilton; Anne Harris Heckman; Herman Herman; Felix Jonathan,2022,"Authors are with National Robotics Engineering Center, the R",2,,,Y,http://arxiv.org/abs/2201.05518v1,https://arxiv.org/pdf/2201.05518v1,both
69,38,0,31,7,0,Risk-Aware Energy-Constrained UAV-UGV Cooperative Routing Using Attention-Guided Reinforcement Learning,Md Safwan Mondal; S. Ramasamy; Ragib Rownak; L. Russo; James D. Humann,2025,IEEE International Conference on Robotics and Automation,2,,,,https://www.semanticscholar.org/paper/832bfa0c3bc10b103a025f7ea5c222feaa2f7e98,,both
70,38,0,19,4,15,Air?€?Ground Cooperative Path Planning for Doorstep Pickup Considering Multiple Uncertainty,Liang Tian; Yang Chen; Huaiyu Wu; Xingang Zhao,2025,IEEE Sensors Journal,0,,,Y,https://www.semanticscholar.org/paper/1a47621512e59aba6db43b9abf5434fe1e15ed21,,semantic_scholar
71,38,0,17,6,15,AoI-Aware Air-Ground Mobile Crowdsensing by Multi-Agent Curriculum Learning With Collaborative Observation Augmentation,Yuxiao Ye; Yuxuan Tian; Chi Harold Liu; Linkang Dong; Guangpeng Qi,2025,IEEE Transactions on Mobile Computing,1,,,Y,https://www.semanticscholar.org/paper/91439557f2a2bb3fc8a5abf137a16d975622a8d1,,semantic_scholar
72,38,15,4,4,15,Aerostack2: A Software Framework for Developing Multi-robot Aerial Systems,Miguel Fernandez-Cortizas; Martin Molina; Pedro Arias-Perez; Rafael Perez-Segui; David Perez-Saura,2023,Submitted to IEEE Robotics and Automation Letters,0,Y,,,http://arxiv.org/abs/2303.18237v2,https://arxiv.org/pdf/2303.18237v2,arxiv
73,38,2,2,4,30,RoboRAN: A Unified Robotics Framework for Reinforcement Learning-Based Autonomous Navigation,Matteo El-Hariry; Antoine Richard; Ricard M. Castan; Luis F. W. Batista; Matthieu Geist,2025,Accepted at Transactions on Machine Learning Research (TMLR),0,Y,,Y,http://arxiv.org/abs/2505.14526v2,https://arxiv.org/pdf/2505.14526v2,arxiv
74,38,0,29,9,0,A Memetic Algorithm for Curvature-Constrained Path Planning of Messenger UAV in Air-Ground Coordination,Yulong Ding; Bin Xin; L. Dou; Jie Chen; Ben M. Chen,2022,IEEE Transactions on Automation Science and Engineering,27,,,,https://www.semanticscholar.org/paper/f5fb139977977c3edef430206c8f37d13b928a6c,,both
75,38,0,29,9,0,Unmanned Aerial Vehicle (UAV)-Assisted Path Planning for Unmanned Ground Vehicles (UGVs) via Disciplined Convex-Concave Programming,Guanchong Niu; Lan Wu; Yunfan Gao; M. Pun,2022,IEEE Transactions on Vehicular Technology,24,,,,https://www.semanticscholar.org/paper/9c4e39acaaf78e17f4aad091029cdafd148cb32f,,semantic_scholar
76,38,0,13,10,15,Human-UAV Interaction Assisted Heterogeneous UAV Swarm Scheduling for Target Searching in Communication Denial Environment,Lu Sun; Jiashuai Wang; Liangtian Wan; Kuixian Li; Xiaojie Wang,2025,IEEE Transactions on Automation Science and Engineering,16,,,Y,https://www.semanticscholar.org/paper/d8f86fb29aa01ccdc44994522c14e29d6b65d4fb,,semantic_scholar
77,38,2,29,7,0,Proficiency Constrained Multi-Agent Reinforcement Learning for Environment-Adaptive Multi UAV-UGV Teaming,Qifei Yu; Zhexin Shen; Yijiang Pang; Rui Liu,2020,five pages,9,,,,http://arxiv.org/abs/2002.03910v3,https://arxiv.org/pdf/2002.03910v3,both
78,37,0,17,5,15,A Real-Time Collaborative Mapping Framework using UGVs and UAVs,Yingchang Du; Hao Fu; Shuo Wang; Zhenping Sun,2024,2024 IEEE International Conference on Unmanned Systems (ICUS,1,,,Y,https://www.semanticscholar.org/paper/fb143f4c5871c1035fa6840160fb6ef0d238f262,,semantic_scholar
79,37,2,16,4,15,AG-MPBS: a Mobility-Aware Prediction and Behavior-Based Scheduling Framework for Air-Ground Unmanned Systems,Tianhao Shao; Kaixing Zhao; Feng Liu; Lixin Yang; Bin Guo,2025,,0,,,Y,http://arxiv.org/abs/2512.16454v1,https://arxiv.org/pdf/2512.16454v1,arxiv
